Encounter,Crossing #,Crossing Time,Range Start,Range End
E04,1,2020-02-01 04:08:02,2020-02-01 03:08:02,2020-02-01 05:08:02
E05,1,2020-06-08 11:55:40,2020-06-08 10:55:40,2020-06-08 12:55:40
E05,2,2020-06-08 15:48:55,2020-06-08 14:48:55,2020-06-08 16:48:55
E05,3,2020-06-08 21:45:26,2020-06-08 20:45:26,2020-06-08 22:45:26
E05,4,2020-06-10 03:18:45,2020-06-10 02:18:45,2020-06-10 04:18:45
E05,5,2020-06-10 04:30:42,2020-06-10 03:30:42,2020-06-10 05:30:42
E06,1,2020-09-25 09:15:57,2020-09-25 08:15:57,2020-09-25 10:15:57
E06,2,2020-09-25 09:54:24,2020-09-25 08:54:24,2020-09-25 10:54:24
E06,3,2020-09-25 09:56:51,2020-09-25 08:56:51,2020-09-25 10:56:51
E06,4,2020-09-25 13:46:10,2020-09-25 12:46:10,2020-09-25 14:46:10
E06,5,2020-09-25 18:01:46,2020-09-25 17:01:46,2020-09-25 19:01:46
E07,1,2021-01-17 13:28:55,2021-01-17 12:28:55,2021-01-17 14:28:55
E07,2,2021-01-19 18:24:57,2021-01-19 17:24:57,2021-01-19 19:24:57
E07,3,2021-01-19 21:10:24,2021-01-19 20:10:24,2021-01-19 22:10:24
E08,1,2021-04-29 01:12:07,2021-04-29 00:12:07,2021-04-29 02:12:07
E08,2,2021-04-29 08:28:05,2021-04-29 07:28:05,2021-04-29 09:28:05
E08,3,2021-04-29 09:34:30,2021-04-29 08:34:30,2021-04-29 10:34:30
E08,4,2021-04-29 13:41:16,2021-04-29 12:41:16,2021-04-29 14:41:16
E09,1,2021-08-10 01:33:38,2021-08-10 00:33:38,2021-08-10 02:33:38
E09,2,2021-08-10 10:40:31,2021-08-10 09:40:31,2021-08-10 11:40:31
E09,3,2021-08-10 11:11:59,2021-08-10 10:11:59,2021-08-10 12:11:59
E09,4,2021-08-10 18:36:57,2021-08-10 17:36:57,2021-08-10 19:36:57
E11,1,2022-02-25 12:29:24,2022-02-25 11:29:24,2022-02-25 13:29:24
E12,1,2022-06-02 17:32:34,2022-06-02 16:32:34,2022-06-02 18:32:34
E13,1,2022-09-06 17:32:01,2022-09-06 16:32:01,2022-09-06 18:32:01
E14,1,2022-12-12 06:50:23,2022-12-12 05:50:23,2022-12-12 07:50:23
E15,1,2023-03-16 04:42:06,2023-03-16 03:42:06,2023-03-16 05:42:06
E15,2,2023-03-17 21:10:16,2023-03-17 20:10:16,2023-03-17 22:10:16
E16,1,2023-06-22 01:34:53,2023-06-22 00:34:53,2023-06-22 02:34:53
E16,2,2023-06-22 04:42:04,2023-06-22 03:42:04,2023-06-22 05:42:04
E16,3,2023-06-24 05:06:41,2023-06-24 04:06:41,2023-06-24 06:06:41
E17,1,2023-09-26 17:02:28,2023-09-26 16:02:28,2023-09-26 18:02:28
E17,2,2023-09-26 19:03:38,2023-09-26 18:03:38,2023-09-26 20:03:38
E17,3,2023-09-26 20:55:08,2023-09-26 19:55:08,2023-09-26 21:55:08
E17,4,2023-09-27 19:58:13,2023-09-27 18:58:13,2023-09-27 20:58:13
E17,5,2023-09-28 06:36:06,2023-09-28 05:36:06,2023-09-28 07:36:06
E18,1,2023-12-29 02:23:53,2023-12-29 01:23:53,2023-12-29 03:23:53
E19,1,2024-03-29 23:11:03,2024-03-29 22:11:03,2024-03-30 00:11:03
E19,2,2024-03-30 12:52:54,2024-03-30 11:52:54,2024-03-30 13:52:54
E20,1,2024-06-29 12:28:59,2024-06-29 11:28:59,2024-06-29 13:28:59
E20,2,2024-06-29 23:52:09,2024-06-29 22:52:09,2024-06-30 00:52:09
E20,3,2024-07-01 18:30:13,2024-07-01 17:30:13,2024-07-01 19:30:13
E20,4,2024-07-04 05:03:15,2024-07-04 04:03:15,2024-07-04 06:03:15
E21,1,2024-09-26 07:03:21,2024-09-26 06:03:21,2024-09-26 08:03:21
